a_doob_martingale_combinatorial | axiom | Doob martingale (combinatorial)
s_absolute_convergence | state | Absolute convergence
s_absolute_convergence_fourier_smoothness | theorem | Absolute convergence of Fourier series under smoothness
s_absolute_convergence_implies_convergence | theorem | Absolute convergence implies convergence
s_absolute_convergence_of_improper_integrals | theorem | Absolute convergence of improper integrals
s_absolute_galois_group | state | Absolute Galois group Gal(K^sep/K)
s_absolute_value_on_R | state | Absolute value (on R)
s_absolute_value_on_a_field | axiom | Absolute value on a field
s_absolute_value_product_formula | axiom | absolute_value_product_formula
s_absolutely_continuous_function | axiom | Absolutely continuous function
s_absolutely_continuous_function_g | axiom | absolutely continuous function g
s_absolutely_continuous_measure | axiom | Absolutely continuous measure
s_absolutely_normal_number | axiom | Absolutely normal number
s_absoluteness_to_L | state | absoluteness to L
s_absorption_infinite_cardinals | theorem | Absorption law for infinite cardinals
s_ac_function_measure_correspondence | theorem | AC functions and absolute continuity of measures
s_ac_maps_null_to_null | theorem | Absolutely continuous functions map null sets to null sets
s_adian_rabin_theorem | theorem | Adian–Rabin theorem on Markov properties
s_adjoint_operator_L_star | state | adjoint operator L star
s_aep | theorem | Asymptotic Equipartition Property (AEP)
s_aleph_function | state | Aleph function ℵ_α
s_aleph_numbers | state | aleph numbers ℵ_α
s_alladi_erdos_largest_prime_factor_average | theorem | Alladi–Erdős result on average of log P⁺(n)
s_amenable_property_T_clash | state | amenable property T clash
s_analytic_baire_property | theorem | Analytic sets have the Baire property
s_analytic_continuation_L_function_s_gt_0 | theorem | Analytic continuation of L(s,χ) to Re(s) > 0
s_analytic_continuation_l_all_c | theorem | Analytic continuation of L(s,χ) to all of ℂ
s_analytic_continuation_l_re_gt_0 | theorem | Analytic continuation of L(s,χ) to Re(s) > 0
s_analytic_determinacy | theorem | Analytic determinacy
s_analytic_measurable | theorem | Analytic sets are Lebesgue measurable
s_analytic_psp | theorem | Analytic sets have the perfect set property
s_antichain_in_boolean_lattice | axiom | antichain in boolean lattice
s_aps_in_pseudorandom_dense_subset | state | APs in pseudorandom dense subset
s_archimedean_property | theorem | Archimedean property
s_aronszajn_tree | state | Aronszajn tree
s_aronszajn_tree_existence | theorem | Existence of an Aronszajn tree
s_artin_l_function | axiom | artin l function
s_artinian_ring_finitely_many_maximal_ideals | theorem | Artinian ring has finitely many maximal ideals
s_artins_lemma_on_fixed_fields | theorem | Artin's lemma on fixed fields
s_asymptotic_expansion_of_the_gamma_function | state | Asymptotic expansion of the gamma function
s_atomic_partition_construction | state | atomic partition construction
s_attached_primes | axiom | Attached primes
s_attained_extrema_on_closed_interval | state | attained extrema on closed interval
s_augmentation_ideal | axiom | Augmentation ideal I_G
s_average_order_of_sigma_n | theorem | Average order of σ(n)
s_axiom_of_choice | axiom | Axiom of choice
s_axiom_of_choice_function_phi | state | axiom of choice function phi
s_axiom_of_determinacy_for_borel_games | axiom | axiom of determinacy for borel games
s_azuma_hoeffding | theorem | Azuma–Hoeffding Inequality
s_backward_martingale | axiom | Backward (reversed) martingale
s_backward_martingale_convergence | theorem | Backward martingale convergence theorem
s_baire_sigma_algebra | axiom | Baire σ-algebra
s_bakergillsolovay_relativization_barrier | theorem | Baker-Gill-Solovay relativization barrier
s_basic_properties_fourier_transform | theorem | Basic properties of the Fourier transform on ℝ
s_basic_set_partition | state | basic set partition
s_bass_serre_tree_for_free_product | state | bass serre tree for free product
s_beatty_partition_count_match | state | beatty partition count match
s_behrend_3_ap_free_set | theorem | Behrend's construction of dense 3-AP-free set
s_bernstein_theorem_monotonic | theorem | Bernstein's theorem on absolutely monotonic functions
s_beth_definability | theorem | Beth's definability theorem
s_beth_function | state | Beth function ℶ_α
s_bethe_ansatz_xxx_theorem | theorem | Bethe ansatz solution of the Heisenberg XXX chain
s_bethe_equations | state | bethe equations
s_block_cut_tree | state | Block-cut tree
s_bm_as_martingale | state | Brownian motion as a martingale
s_bm_path_properties | state | Path properties of Brownian motion
s_bm_scaling_property | theorem | Scaling property of Brownian motion
s_bochner_martinelli_kernel | state | Bochner–Martinelli kernel
s_boolean_algebra_B | state | boolean algebra B
s_boolean_circuit | axiom | Boolean circuit
s_boolean_function_def | axiom | Boolean function
s_boolean_lattice | axiom | Boolean lattice B_n
s_boolean_prime_ideal_theorem | theorem | Boolean Prime Ideal Theorem
s_boolean_satisfiability | state | boolean_satisfiability
s_boolean_valued_models | state | boolean_valued_models
s_boolean_valued_universe | state | Boolean-valued universe V^B
s_booleanvalued_model | state | Boolean-valued model
s_borel_measurable_function | state | Borel measurable function
s_borel_sigma_algebra_on_R | axiom | borel sigma algebra on R
s_borel_sigma_algebra_on_Rn | axiom | Borel σ-algebra on ℝⁿ
s_bott_iteration_formula | theorem | Bott's iteration formula
s_bounded_differences_for_martingale | state | bounded differences for martingale
s_bowen_partition_function_Z_n | state | bowen partition function Z n
s_bowen_specification_unique_equilibrium | theorem | Bowen's specification property implies unique equilibrium
s_bubble_tree_at_singular_points | state | bubble tree at singular points
s_cameron_martin_space_H1 | axiom | cameron martin space H1
s_cameron_martin_theorem | theorem | Cameron–Martin Theorem
s_candidate_closure_properties | state | candidate closure properties
s_candidate_generating_partition | state | candidate generating partition
s_canfield_erdos_pomerance_theorem | theorem | Canfield–Erdős–Pomerance theorem
s_canonical_ramsey_theorem | theorem | Canonical Ramsey theorem (Erdős–Rado)
s_canonical_reflection | state | canonical reflection
s_caratheodory_measurability | axiom | Carathéodory measurability (μ*-measurable set)
s_cardinal_arithmetic | state | Cardinal arithmetic
s_cardinal_number | axiom | Cardinal number
s_cartesian_closed_category | axiom | Cartesian closed category
s_cauchy_filter | axiom | Cauchy filter
s_cauchy_lemma_polygonal | theorem | Cauchy’s lemma (polygonal numbers)
s_cayley_tree_of_F | state | cayley tree of F
s_cc_dense_in_lp | theorem | Density of Cc in Lp for Radon measures
s_ccc_forcing | state | Countable chain condition (ccc)
s_ccc_partial_order | axiom | ccc partial order
s_ccc_preserves_cardinals | theorem | ccc forcing preserves cardinals
s_centered_random_walk_martingale | state | centered random walk martingale
s_central_force_problem | axiom | central force problem
s_cesaro_average_iterates_in_K | state | cesaro average iterates in K
s_cf_parse_tree_pumping_step | state | cf parse tree pumping step
s_cft_modular_invariance_theorem | theorem | Modular invariance of CFT partition function (S, T action)
s_ch_independent_of_zfc | theorem | CH independent of ZFC
s_chain_meets_antichain_at_most_once | state | chain meets antichain at most once
s_character_of_verma_module | state | Character of a Verma module
s_chevalley_constructibility | theorem | Chevalley constructibility theorem
s_chevalley_theorem_constructible_sets | theorem | Chevalley's theorem on constructible sets
s_chvatal_erdos_target | state | chvatal erdos target
s_chvatal_erdos_theorem | theorem | Chvátal–Erdős theorem
s_chvatal_erdos_theorem_diestel | theorem | Chvátal–Erdős theorem
s_circle_orbit_partition | state | circle orbit partition
s_class_D_submartingale | axiom | class D submartingale
s_classifying_space_B_sigma_infty | state | classifying space B sigma infty
s_cleaned_reduced_graph_H_free_or_dense | state | cleaned reduced graph H free or dense
s_closed_forcing_adds_no_sequences | theorem | <κ-closed forcing adds no new <κ-sequences
s_closed_ideal_in_Wiener_algebra | state | closed ideal in Wiener algebra
s_closure_measurable_functions_under_limits | theorem | Closure of measurable functions under limits
s_club_filter | state | Club filter
s_club_intersection_theorem | theorem | Intersection of clubs is club
s_club_principle | state | Club principle ♣
s_club_set | state | Closed unbounded (club) set
s_cluster_point_of_filter | state | Cluster point of a filter
s_cm_equidimensional | theorem | Cohen-Macaulay local rings are equidimensional
s_cm_implies_catenary | theorem | Cohen-Macaulay rings are universally catenary
s_cm_polynomial_ring | theorem | Polynomial rings over Cohen-Macaulay rings are Cohen-Macaulay
s_codimension_of_an_ideal | state | Codimension (height) of an ideal
s_cofinality | state | Cofinality cf(α)
s_coheight_of_a_prime_ideal | axiom | Coheight of a prime ideal
s_cohen_forcing | theorem | Cohen's forcing theorems
s_cohen_forcing_is_ccc | theorem | Cohen forcing is ccc
s_cohen_independence_of_ch | theorem | cohen_independence_of_ch
s_cohen_macaulay_ring | axiom | Cohen–Macaulay ring
s_cohen_structure_theorem | theorem | Cohen structure theorem
s_cohen_structure_theorem_mixed_char | theorem | Cohen structure theorem (mixed characteristic)
s_cohenmacaulay_module | axiom | Cohen-Macaulay module
s_cohens_independence_of_ch | theorem | Cohen's independence of CH
s_collapse_function_pi | state | collapse function pi
s_collapse_map_to_thom_space | state | collapse map to thom space
s_collapse_to_MO_k_thom_space | state | collapse to MO k thom space
s_collapsed_substructure_is_L_alpha | state | collapsed substructure is L alpha
s_comma_categories_contractible | axiom | comma categories contractible
s_comma_category | axiom | Comma category
s_compact_3_manifold_with_simply_connected_sphere_property | axiom | compact 3 manifold with simply connected sphere property
s_compact_hyperbolic_surface_Gamma_minus_H2 | axiom | compact hyperbolic surface Gamma minus H2
s_compact_operators_closed_ideal | theorem | Compact operators form a closed ideal
s_compact_smooth_moduli_under_generic_metric | state | compact smooth moduli under generic metric
s_compactness_principle_ramsey | theorem | Compactness principle for Ramsey theory
s_compatible_conditions | state | Compatible and incompatible conditions
s_compensated_martingale | state | compensated martingale
s_complete_BA_for_random_forcing | state | complete BA for random forcing
s_complete_boolean_algebra | axiom | Complete Boolean algebra
s_completed_l_function | axiom | Completed L-function
s_completeness_of_R | axiom | Completeness of R (least upper bound property)
s_complexity_class_l_logspace | state | complexity class L (logspace)
s_con_MA_not_CH | theorem | Con(MA+¬CH) (Solovay–Tennenbaum)
s_con_SH | theorem | Con(SH) (Solovay–Tennenbaum)
s_con_zfc_gch | theorem | Con(ZFC) ⇒ Con(ZFC+GCH) (Gödel)
s_con_zfc_not_ch_cohen | theorem | Con(ZFC)⟹Con(ZFC+¬CH) (Cohen)
s_conductor_ideal | state | Conductor ideal
s_conductor_l_function | axiom | Conductor of an L-function
s_congruence_subgroup_gamma0 | axiom | Congruence subgroup Γ₀(N)
s_congruence_subgroup_gamma1 | axiom | Congruence subgroup Γ₁(N)
s_conjugate_partition | state | Conjugate (transpose) partition
s_construct_tree_killing_each_predicted_antichain | state | construct tree killing each predicted antichain
s_constructible_closure_L_R | axiom | constructible closure L R
s_constructible_reals | state | Constructible reals ℝ∩L
s_constructible_universe_L | theorem | Constructible universe L (Gödel)
s_constructible_wellordering | state | Constructible well-ordering <_L
s_continuity_via_filters | theorem | Continuity via filters
s_continuous_functions_are_measurable | theorem | Continuous functions are Borel measurable
s_continuous_local_martingale_M_t | axiom | continuous local martingale M t
s_continuous_spectrum_gamma_h | axiom | Continuous spectrum of Γ\H
s_continuum_hypothesis_or_GCH | axiom | continuum hypothesis or GCH
s_contraction_property_of_resolvent | state | contraction property of resolvent
s_convergence_l_nonprincipal_s_gt_0 | theorem | Convergence of L(s,χ) for nonprincipal χ at s > 0
s_convergence_of_filter | axiom | Convergence of a filter
s_convergent_quadratic_iteration | state | convergent quadratic iteration
s_converse_mean_value_property | theorem | Converse of the mean value property
s_convexity_bound_l_functions | theorem | Convexity bound for L-functions
s_coprime_ideals | axiom | Coprime ideals
s_cops_and_robber | state | Cops and robbers characterization of tree-width
s_correspondence_between_forms_and_ideals | theorem | Correspondence between forms and ideals
s_coset_partition_of_G | state | coset partition of G
s_coulomb_phase_shift | state | Coulomb Phase Shift sigma_l(eta)
s_countable_closed_partition_hypothesis | state | countable closed partition hypothesis
s_countable_dense_sequence_in_unit_ball | state | countable dense sequence in unit ball
s_countable_dense_subset_of_X | state | countable dense subset of X
s_countable_markov_partition | state | countable markov partition
s_countable_proper_forcing_class | axiom | countable proper forcing class
s_counting_ideals_of_bounded_norm | theorem | Counting ideals of bounded norm
s_counting_lemma_dense_H_implication | state | counting lemma dense H implication
s_curve_l_function_eigenvalues | state | curve l function eigenvalues
s_curve_recovered_from_kappa_tau | state | curve recovered from kappa tau
s_cycle_lemma_count | state | cycle lemma count
s_davenport_erdos_density_multiples | theorem | Davenport–Erdős theorem on multiples
s_decay_of_dual_iterates | state | decay of dual iterates
s_decision_tree_complexity | axiom | Decision tree complexity
s_definability_in_L_alpha | axiom | definability in L alpha
s_definability_lemma_forcing | theorem | Definability lemma (forcing)
s_defocusing_property_on_arcs | state | defocusing property on arcs
s_degeneration_at_E2 | state | Degeneration at E_2
s_degree_l_function | axiom | Degree of an L-function
s_deletion_property | theorem | Deletion property
s_dense_domain_with_skew_adjoint_generator | state | dense domain with skew adjoint generator
s_dense_family_of_analytic_test_functions | state | dense family of analytic test functions
s_dense_functor | axiom | Dense functor
s_dense_predense | state | Dense and predense sets
s_dense_ring_of_linear_transformations | state | Dense ring of linear transformations
s_dense_set | axiom | Dense set
s_dense_set_of_explicit_stochastic_integrals | state | dense set of explicit stochastic integrals
s_dense_subspaces_of_lp | theorem | Dense subspaces of Lp
s_densely_defined_closed_linear_operator | axiom | densely defined closed linear operator
s_densely_defined_closed_operator_A | axiom | densely defined closed operator A
s_densely_defined_closed_operator_T | axiom | densely defined closed operator T
s_densely_defined_dissipative_operator_A | axiom | densely defined dissipative operator A
s_density_increment_iteration | state | density increment iteration
s_density_of_zeros_near_sigma_1 | state | Density of zeros near σ = 1
s_derandomized_ramsey_bound | theorem | Derandomized Ramsey lower bound
s_descent_on_ideal_chain | state | descent on ideal chain
s_determinacy_ad | state | determinacy (AD)
s_determinacy_of_a_set | state | Determinacy of a set Det(A)
s_determinantal_ideal | axiom | Determinantal ideal
s_diagonal_intersection_club | state | diagonal intersection club
s_diagonal_ramsey_bounds | state | Diagonal Ramsey number bounds
s_diamond_anticipates_antichains | state | diamond anticipates antichains
s_diamond_holds_in_L | theorem | ◊ holds in L (Jensen)
s_diamond_implies_ch | theorem | ◊ implies CH
s_diamond_implies_suslin_tree | theorem | Suslin's hypothesis / ◊ implies a Suslin tree (Jensen)
s_diamond_iso_map | state | diamond iso map
s_diamond_principle_on_omega_1 | axiom | diamond principle on omega 1
s_different_ideal_definition | state | different ideal definition
s_diffusion_generator_L_with_carre_du_champ | axiom | diffusion generator L with carre du champ
s_digamma_function | state | Digamma function
s_dilation_property_lebesgue | theorem | Dilation property of Lebesgue measure
s_dimension_reduction_via_suslin | state | dimension reduction via suslin
s_dimension_via_m_primary_ideals | theorem | Dimension via 𝔪-primary ideals
s_direct_limit_filtered_colimit | axiom | Direct limit (filtered colimit)
s_dirichlet_l_function | axiom | dirichlet l function
s_dirichlet_l_nonvanishing_at_1 | theorem | dirichlet_l_nonvanishing_at_1
s_discrete_spectrum_gamma_h | axiom | Discrete spectrum of Γ\H
s_dispersive_L_infty_to_L_1_estimate | state | dispersive L infty to L 1 estimate
s_distance_decreasing_property | state | distance decreasing property
s_distance_to_dense_coords | state | distance to dense coords
s_divergence_form_elliptic_with_L_infty_coefficients | axiom | divergence form elliptic with L infty coefficients
s_divergence_form_parabolic_with_L_infty_coeff | axiom | divergence form parabolic with L infty coeff
s_divisor_function_sigma_alpha | axiom | Generalized divisor function σ_α
s_doob_Lp_convergence | theorem | Doob L^p Martingale Convergence
s_doob_filtration_martingale | state | doob filtration martingale
s_doob_martingale_convergence | theorem | Doob's martingale convergence theorem
s_doob_martingale_convergence_as | theorem | Doob's Martingale Convergence (a.s.)
s_duality_maximal_cm_modules | theorem | Duality for maximal Cohen-Macaulay modules
s_dynkin_martingale | state | dynkin martingale
s_each_fibre_nonstationary | state | each fibre nonstationary
s_easton_admissible_F | state | easton admissible F
s_easton_class_forcing | state | easton class forcing
s_easton_theorem | theorem | Easton's theorem on continuum function
s_edge_coloring | axiom | Proper edge coloring
s_eigenmeasure_for_L_phi | state | eigenmeasure for L phi
s_elementary_embedding_j_V_to_V | axiom | elementary embedding j V to V
s_elementary_substructure_of_L_alpha | state | elementary substructure of L alpha
s_elementary_substructure_property | axiom | elementary substructure property
s_elimination_ideal | state | elimination ideal
s_ellipsoid_volume_shrinkage_iteration | state | ellipsoid volume shrinkage iteration
s_elliptic_operator_L_constant_coeff | axiom | elliptic operator L constant coeff
s_elliptic_operator_L_self_adjoint | axiom | elliptic operator L self adjoint
s_elliptic_operator_L_with_C_alpha_coefficients | axiom | elliptic operator L with C alpha coefficients
s_empirical_measure_L_n | axiom | empirical measure L n
s_equilibrium_renewal_distribution | state | Equilibrium (stationary) renewal distribution
s_equivalence_class_partition_theorem | theorem | Equivalence class partition theorem
s_equivalence_of_absolute_values | axiom | equivalence of absolute values
s_equivalence_of_nets_and_filters | theorem | Equivalence of nets and filters
s_erdos_cardinal | state | Erdős cardinal κ→(α)^{<ω}
s_erdos_essential_components_theorem | theorem | Erdős’s theorem on essential components
s_erdos_fuchs_theorem | theorem | Erdős–Fuchs theorem
s_erdos_gallai_theorem | theorem | Erdős–Gallai theorem (graphic sequence)
s_erdos_ginzburg_ziv_theorem | theorem | Erdős–Ginzburg–Ziv theorem
s_erdos_girth_chromatic | theorem | Erdős theorem on girth and chromatic number
s_erdos_heilbronn_conjecture | theorem | Erdős–Heilbronn conjecture (Dias da Silva–Hamidoune)
s_erdos_implies_zero_sharp | theorem | κ→(ω₁)^{<ω} implies 0# exists
s_erdos_kac_theorem | theorem | Erdős–Kac theorem
s_erdos_ko_rado | theorem | Erdős–Ko–Rado theorem
s_erdos_ko_rado_theorem | theorem | Erdős–Ko–Rado theorem
s_erdos_littlewood_offord | theorem | Erdős–Littlewood–Offord inequality
s_erdos_posa_dual_target | state | erdos posa dual target
s_erdos_posa_theorem | theorem | Erdős–Pósa theorem
s_erdos_rado_theorem | theorem | Erdős–Rado theorem
s_erdos_ramsey_lower | theorem | Erdős probabilistic lower bound for Ramsey numbers
s_erdos_ramsey_lower_bound | theorem | Erdős probabilistic lower bound on R(k,k)
s_erdos_renyi_connectedness_threshold | theorem | Erdős–Rényi Connectedness Threshold
s_erdos_renyi_connectivity_threshold | theorem | Erdős–Rényi threshold for connectivity
s_erdos_renyi_giant_component | theorem | Erdős–Rényi Giant Component Threshold
s_erdos_renyi_graph_G_n_p | axiom | erdos renyi graph G n p
s_erdos_renyi_model | axiom | Erdős–Rényi random graph model G(n, p)
s_erdos_stone_target | state | erdos stone target
s_erdos_stone_theorem | theorem | Erdős–Stone theorem
s_erdos_szekeres_ramsey_bound | theorem | Erdős–Szekeres bound on Ramsey numbers
s_erdos_szekeres_theorem | theorem | Erdős–Szekeres monotone subsequence theorem
s_erdos_szemeredi_conjecture | state | Erdős–Szemerédi sum-product conjecture
s_erdos_szemeredi_sum_product | theorem | Erdős–Szemerédi sum–product
s_erdos_tarski_theorem | theorem | Erdős–Tarski theorem on weakly compact cardinals
s_erdos_turan_inequality | theorem | Erdős-Turán inequality
s_erdos_wintner_theorem | theorem | Erdős–Wintner theorem
s_erdos_woods_conjecture_consequence | theorem | erdos_woods_conjecture_consequence
s_euler_four_square_identity | axiom | Euler four-square identity
s_euler_partition_identity | theorem | Euler's partition identity
s_euler_product_for_l_function | theorem | Euler product for L(s,χ)
s_euler_reflection_formula | theorem | Euler's Reflection Formula
s_eventuality_filter | state | Eventuality filter (filter generated by a net)
s_every_ideal_is_finite_intersection_of_irreducibles | theorem | Every ideal is a finite intersection of irreducible ideals
s_every_maximal_ideal_is_prime | theorem | Every maximal ideal is prime
s_every_measurable_limit_of_simple | theorem | Every measurable function is a limit of simple functions
s_evolution_equation_with_lax_pair_L_M | axiom | evolution equation with lax pair L M
s_exchange_property | theorem | Exchange property
s_exchangeable_sigma_algebra | axiom | exchangeable sigma algebra
s_existence_of_ultrafilters | theorem | Existence of ultrafilters (ultrafilter lemma)
s_existence_uniqueness_stationary | theorem | Existence and uniqueness of stationary distribution
s_exp_lambda_M_n_is_supermartingale | state | exp lambda M n is supermartingale
s_expected_codimension_determinantal | theorem | Expected codimension of determinantal ideals
s_exponential_local_martingale_e_ixiM | state | exponential local martingale e ixiM
s_exponential_martingale | state | Exponential martingale
s_extension_and_contraction_of_ideals | axiom | Extension and contraction of ideals
s_extension_of_absolute_values | theorem | Extension of absolute values
s_f_sigma_set | axiom | F_σ set
s_faddeev_popov_partition_function_theorem | theorem | Faddeev–Popov gauge-fixing procedure
s_family_indexed_by_dense_subset_D | state | family indexed by dense subset D
s_farey_mediant_theorem | theorem | Farey mediant property
s_farey_neighbor_theorem | theorem | Farey neighbor property
s_feller_property_markov_chain | axiom | Feller property (Markov chain on topological space)
s_fermat_right_triangle_no_rational_square_area | theorem | Fermat's right-triangle theorem
s_fermat_two_square_theorem | theorem | Fermat's two-square theorem
s_ferromagnetic_ising_partition_function | axiom | ferromagnetic ising partition function
s_field_extension_L_over_K | axiom | Field extension L/K
s_filter | axiom | Filter
s_filter_base | axiom | Filter base (basis of a filter)
s_filter_characterization_compactness | theorem | Filter characterization of compactness
s_filter_generated_by_base | state | Filter generated by a base
s_filtered_category | axiom | Filtered category
s_filtered_colimit_algebraic | theorem | Filtered colimits in algebraic categories
s_filtered_colimits_commute_finite_limits | theorem | Filtered colimits commute with finite limits in Set
s_filtered_complex | axiom | Filtered complex
s_filtered_module | axiom | Filtered module
s_filtered_probability_space | axiom | filtered probability space
s_filtered_ring | axiom | Filtered ring
s_final_functor | axiom | Final functor (cofinal)
s_finitary_TREE_function_statement | state | finitary TREE function statement
s_finite_generating_set_of_ideal | state | Finite generating set of ideal
s_finite_intersection_property | theorem | Finite intersection property characterization of compactness
s_finite_labelled_trees | axiom | finite labelled trees
s_finite_normal_separable_extension_L_over_K | state | Finite normal separable extension L/K
s_finite_product_of_finitely_branching_trees | axiom | finite product of finitely branching trees
s_finite_proper_time_to_focal_point | state | finite proper time to focal point
s_finite_ramsey_conjecture | state | finite ramsey conjecture
s_finite_rooted_tree | axiom | finite rooted tree
s_finite_signed_measure_nu_absolutely_continuous | state | finite signed measure nu absolutely continuous
s_finite_witness_property | state | finite witness property
s_first_order_graph_property_phi | axiom | first order graph property phi
s_fitting_ideal | state | Fitting ideal
s_fitting_ideals_and_annihilator | theorem | Fitting ideals and annihilator
s_flat_degeneration_to_initial_ideal | theorem | Flat degeneration to initial ideal
s_flatness_ideal_criterion | theorem | Ideal-theoretic characterization of flatness
s_flatness_is_a_local_property | theorem | Flatness is a local property
s_floating_lp_iteration | state | floating lp iteration
s_fodor_constancy_on_stationary_subset | state | fodor constancy on stationary subset
s_fodor_lemma | theorem | Fodor's pressing-down lemma
s_forcing | state | forcing
s_forcing_extension_mg | state | forcing extension M[G]
s_forcing_relation | state | Forcing relation p⊩φ
s_forcing_theorem | theorem | Forcing theorem (fundamental)
s_formal_adjoint_operator_L_star | state | formal adjoint operator L star
s_fractional_ideal | axiom | fractional_ideal
s_fractional_ideals_of_dedekind_domains_are_invertible | theorem | Fractional ideals of Dedekind domains are invertible
s_fredholm_property_elliptic_bvp | theorem | Fredholm property for elliptic BVPs
s_fredholm_property_elliptic_compact_manifold | theorem | Fredholm property of elliptic operators on compact manifolds
s_fs_iteration_ccc | theorem | FS iteration of ccc is ccc
s_full_modularity_theorem_BCDT | theorem | Modularity Theorem — full, Breuil–Conrad–Diamond–Taylor 2001
s_function_with_absolutely_convergent_fourier_series_nonvanishing | axiom | function with absolutely convergent fourier series nonvanishing
s_functional_equation_l_primitive | theorem | Functional equation of L(s,χ) for primitive characters
s_fundamental_lemma_ngo | theorem | Fundamental lemma (Ngô)
s_fundamental_lemma_of_sieve | theorem | Brun–Hooley sieve / linear sieve fundamental lemma
s_fundamental_theorem_of_p_partitions | theorem | Fundamental theorem of P-partitions (Stanley)
s_gale_stewart_theorem | theorem | Gale–Stewart theorem
s_galois_extension_L_over_K | axiom | galois extension L over K
s_galois_extension_l_over_k | axiom | galois extension l over k
s_galvin_prikry_game | state | galvin prikry game
s_galvin_prikry_theorem | theorem | Galvin–Prikry theorem
s_gamma_2_operator | state | gamma 2 operator
s_gamma_analytic_continuation | theorem | Analytic continuation of Γ to meromorphic function on ℂ
s_gamma_analyticity | theorem | Gamma function is analytic on the right half-plane
s_gamma_convergence | state | Γ-convergence
s_gamma_distribution | axiom | Gamma distribution
s_gamma_factors_functional_equation | axiom | Gamma factors in functional equations
s_gamma_function | state | Gamma function
s_gamma_recurrence | theorem | Gamma function recurrence relation
s_gamma_recurrence_relation | theorem | Gamma Function Recurrence Relation
s_gauss_constructible_regular_polygons | theorem | Gauss's theorem on constructible regular polygons
s_gauss_lemma_legendre | theorem | Gauss's lemma for the Legendre symbol
s_gauss_lemma_polynomials | theorem | Gauss's lemma (polynomials)
s_gauss_lemma_riemannian | theorem | Gauss lemma (Riemannian geometry)
s_gausss_lemma_content_of_polynomials | theorem | Gauss's lemma (content of polynomials)
s_gausss_lemma_quadratic_residues | theorem | Gauss's lemma (quadratic residues)
s_gelfand_spectrum | state | Gelfand spectrum (maximal ideal space)
s_general_l_function_ik | axiom | General L-function (Iwaniec–Kowalski framework)
s_generalized_continuum_hypothesis | state | Generalized Continuum Hypothesis (GCH)
s_generic_H_meets_X_transversely | state | generic H meets X transversely
s_generic_extension_V_G | state | generic extension V G
s_generic_extension_with_F | state | generic extension with F
s_generic_filter | state | generic filter
s_generic_filter_2 | state | generic_filter
s_generic_flatness_theorem | theorem | Generic flatness theorem
s_generic_freeness_lemma | theorem | Generic freeness lemma (Grothendieck)
s_generic_parameter_makes_f_transverse | state | generic parameter makes f transverse
s_generic_point_of_a_scheme | state | generic point of a scheme
s_generic_projection_remains_immersion | state | generic projection remains immersion
s_generic_random_real | state | generic random real
s_generic_section_connected | state | generic section connected
s_generic_smoothness | theorem | Generic smoothness
s_generic_specialization_remains_irreducible | state | generic specialization remains irreducible
