s_transitive_closure | state | Transitive closure TC(x)
t_pi11_norm | technique | Π¹₁ norm / rank
s_boundedness_theorem | theorem | Σ¹₁-boundedness theorem
s_projective_hierarchy | state | Projective hierarchy (Σ¹_n,Π¹_n,Δ¹_n)
s_projective_hierarchy_proper | theorem | Projective hierarchy is proper
s_uniformization | state | Uniformization
s_sigma2_uniformization | theorem | Σ¹₂-uniformization (Novikov–Kondô–Addison)
s_prewellordering_property | state | Prewellordering property
s_scale_property | state | Scale property
s_periodicity_theorems | theorem | Periodicity theorems (Moschovakis)
t_shoenfield_tree | technique | Shoenfield tree
s_sigma2_wellordering_in_L | theorem | Σ¹₂ well-ordering under V=L
s_constructible_reals | state | Constructible reals ℝ∩L
s_infinite_game | state | Infinite game G(A) and strategy
s_determinacy_of_a_set | state | Determinacy of a set Det(A)
s_gale_stewart_theorem | theorem | Gale–Stewart theorem
t_unraveling | technique | Unraveling / covering technique
s_AD_implies_measurable | theorem | AD implies all sets Lebesgue measurable
s_AD_implies_baire_property | theorem | AD implies the Baire property for all sets
s_AD_implies_PSP | theorem | AD implies perfect set property for all sets
t_banach_mazur_game | technique | Banach–Mazur game
s_analytic_determinacy | theorem | Analytic determinacy
s_sharps_analytic_determinacy_equivalence | state | Sharps and analytic determinacy equivalence
t_homogeneous_tree | technique | Homogeneously Suslin set / homogeneous tree
s_martin_steel_pd | theorem | Martin–Steel theorem (projective determinacy)
s_PD_implies_regularity | theorem | PD implies regularity for all projective sets
s_AD_equiconsistent_woodins | theorem | AD equiconsistent with infinitely many Woodins
s_wadge_reducibility | state | Wadge reducibility / Wadge hierarchy
t_solovay_model_construction | technique | Solovay's model construction via Lévy collapse
s_shelah_inaccessible_necessary | theorem | Inaccessible necessary for all sets Lebesgue measurable (Shelah)
