s_euclidean_plane | axiom | Euclidean plane ℝ²
s_lagrange_four_squares | theorem | Lagrange four-square theorem
s_central_limit_theorem | theorem | Central limit theorem
s_quadratic_reciprocity | theorem | Quadratic reciprocity
s_theorema_egregium | theorem | Theorema Egregium
s_gauss_bonnet_theorem | theorem | Gauss–Bonnet theorem
s_cauchy_integral_formula | theorem | Cauchy integral formula
s_abel_ruffini | theorem | Abel–Ruffini theorem
s_fundamental_theorem_of_galois_theory | theorem | Fundamental theorem of Galois theory
s_fourier_theorem_heat | theorem | Fourier's theorem on the heat equation
s_stokes_theorem | theorem | Stokes's theorem
s_riemann_mapping_theorem | theorem | Riemann mapping theorem
s_riemann_roch_theorem | theorem | Riemann–Roch theorem
s_prime_number_theorem | theorem | Prime number theorem
s_sylow_theorems | theorem | Sylow theorems
s_uncountability_of_reals | theorem | Uncountability of ℝ
s_weierstrass_approximation | theorem | Weierstrass approximation
s_hilbert_basis_theorem | theorem | Hilbert basis theorem
s_nullstellensatz | theorem | Hilbert's Nullstellensatz
s_brouwer_fpt | theorem | Brouwer fixed-point theorem
s_noether_theorem | theorem | Noether's theorem
s_godel_incompleteness | theorem | Gödel's incompleteness theorems
s_banach_fpt | theorem | Banach fixed-point theorem
s_hahn_banach | theorem | Hahn–Banach theorem
s_tychonoff_theorem | theorem | Tychonoff's theorem
s_undecidability_of_halting | theorem | Undecidability of halting
s_con_zfc_gch | theorem | Con(ZFC) ⇒ Con(ZFC+GCH) (Gödel)
s_ramsey_theorem_infinite | theorem | Infinite Ramsey theorem
s_birkhoff_ergodic_theorem | theorem | Birkhoff ergodic theorem
s_atiyah_singer_index_theorem | theorem | Atiyah–Singer index theorem
s_cfsg | theorem | Classification of finite simple groups
s_ch_independent_of_zfc | theorem | CH independent of ZFC
s_four_color_theorem | theorem | Four color theorem
s_mordell_faltings | theorem | Mordell–Faltings theorem
s_flt | theorem | Fermat's Last Theorem
s_poincare_conjecture | theorem | Poincaré conjecture
s_geometrization_theorem | theorem | Geometrization theorem
s_kepler_conjecture | theorem | Kepler conjecture
s_green_tao | theorem | Green–Tao theorem
s_bounded_gaps_between_primes | theorem | Bounded gaps between primes
s_ternary_goldbach | theorem | Ternary Goldbach (Helfgott)
s_graph_minor_theorem | theorem | Robertson–Seymour graph minor theorem
s_szemeredi_theorem_terminal | theorem | Szemerédi's theorem (as terminal)
t_spot_pattern_in_table | technique | Spot pattern in table
t_verify_on_special_cases | technique | Verify on special cases
t_complete_the_square | technique | Complete the square
t_reduce_to_canonical_form | technique | Reduce to canonical form
t_compose_with_identity | technique | Compose with identity
t_symmetry_reduction | technique | Symmetry reduction
t_conserved_quantity | technique | Conserved quantity
t_duality | technique | Duality
t_character_decomposition_count | technique | Character decomposition count
t_exhaustion_squeeze | technique | Exhaustion / squeeze
t_interpolate_and_continue | technique | Interpolate and continue
t_frequency_decomposition | technique | Frequency decomposition
t_axiomatize_from_instances | technique | Axiomatize from instances
t_structural_isomorphism | technique | Structural isomorphism
t_ultraproduct_transfer | technique | Ultraproduct transfer
t_raise_dimension | technique | Raise dimension
t_obstruction_class | technique | Obstruction class
t_compactness_argument | technique | Compactness argument
t_deformation_cohomology | technique | Deformation cohomology
t_rescale_for_asymptotic_geometry | technique | Rescale for asymptotic geometry
t_diagonalize | technique | Diagonalize
t_arithmetize_syntax | technique | Arithmetize syntax
t_force_independence | technique | Force independence
t_contraction_fixed_point | technique | Contraction fixed point
t_infinite_descent | technique | Infinite descent
t_flow_with_surgery | technique | Flow with surgery
t_physics_to_pde | technique | Physics to PDE
t_complex_analysis_to_integers | technique | Complex analysis to integers
t_analysis_algebra_topology_bridge | technique | Analysis–algebra–topology bridge
t_major_minor_arc_decomposition | technique | Major/minor arc decomposition
t_ergodic_correspondence | technique | Ergodic correspondence
t_finite_case_check | technique | Finite case check
t_formal_verify | technique | Formal verify
t_distributed_collaboration | technique | Distributed collaboration
t_probabilistic_existence | technique | Probabilistic existence
t_pigeonhole_collision | technique | Pigeonhole collision
t_sieve_by_optimized_quadratic | technique | Sieve by optimized quadratic
t_group_complete_exact_category | technique | Group-complete exact category (K-theory)
t_sheafify_on_grothendieck_topology | technique | Sheafify on Grothendieck topology
t_representable_functor_trick | technique | Representable functor trick
t_polynomial_method | technique | Polynomial method
t_double_centralizer_decompose | technique | Double centralizer decompose
t_fourier_transform | technique | Fourier transform (umbrella)
t_svd_and_spectral_decomposition | technique | SVD / spectral decomposition
t_galois_correspondence | technique | Galois correspondence (composite)
t_ricci_flow_with_surgery | technique | Ricci flow with surgery (composite)
t_wiles_modularity | technique | Wiles modularity (composite)
t_godel_numbering | technique | Gödel numbering (composite)
t_atiyah_singer_index_machinery | technique | Atiyah–Singer index machinery (composite)
t_selberg_sieve_method | technique | Selberg sieve method (composite)
t_circle_method | technique | Circle method (composite)
t_furstenberg_correspondence_principle | technique | Furstenberg correspondence (composite)
t_category_theoretic_colimits_and_adjoints | technique | Category-theoretic colimits/adjoints (composite)
t_auxiliary_construction | technique | Auxiliary construction
t_conjecture_refinement | technique | Conjecture refinement
t_reductio_ad_absurdum | technique | Reductio ad absurdum
t_projection_to_subspace | technique | Projection to subspace
t_sheaf_cohomology_bridge | technique | Sheaf cohomology bridge
t_k_theoretic_index_bridge | technique | K-theoretic index bridge
t_heights_and_galois_rep_bridge | technique | Heights / Galois representation bridge
t_level_lowering_bridge | technique | Level-lowering bridge (Ribet)
t_transference_bridge | technique | Transference bridge
s_heron_formula | theorem | Heron's Formula
s_incircle_tangent_decomposition | state | incircle tangent decomposition
s_area_squared_equals_s_times_product | state | area squared equals s times product
s_menelaus_theorem | theorem | Menelaus's Theorem
s_perpendiculars_from_vertices_to_transversal | state | perpendiculars from vertices to transversal
s_ratio_product_cancels_heights | state | ratio product cancels heights
s_brahmagupta_formula | theorem | Brahmagupta's Formula
s_two_triangles_with_supplementary_angles | state | two triangles with supplementary angles
s_area_squared_symmetric_in_four_sides | state | area squared symmetric in four sides
s_brahmagupta_midpoint_theorem | theorem | Brahmagupta's Theorem
s_orthodiagonal_cyclic_quadrilateral | state | orthodiagonal cyclic quadrilateral
s_perpendicular_from_diagonal_intersection_to_side | state | perpendicular from diagonal intersection to side
s_aryabhata_sine_pi_kuttaka | theorem | Aryabhata's Theorems
s_sine_second_difference_recurrence | state | sine second difference recurrence
s_aryabhata_sine_table | state | aryabhata sine table
s_aryabhata_pi_3_1416 | state | aryabhata pi 3 1416
s_kuttaka_extended_euclid | state | kuttaka extended euclid
s_alkhwarizmi_six_quadratic_types | theorem | Al-Khwārizmī's Quadratic Framework
s_six_canonical_quadratic_forms | state | six canonical quadratic forms
s_geometric_completion_of_square | state | geometric completion of square
s_khayyam_cubic_geometric_solution | theorem | Omar Khayyām's Geometric Solution of Cubics
s_fourteen_irreducible_cubic_types | state | fourteen irreducible cubic types
s_cubic_as_intersection_of_two_conics | state | cubic as intersection of two conics
s_viete_formulas | theorem | Viète's Formulas
s_polynomial_as_product_of_root_factors | state | polynomial as product of root factors
s_elementary_symmetric_polynomials | state | elementary symmetric polynomials
s_flt_n_equals_4 | theorem | Fermat's Last Theorem, Origin — n = 4 descent
s_flt_general_conjecture | state | flt general conjecture
s_flt_n_4_strengthened_claim | state | flt n 4 strengthened claim
s_descartes_rule_of_signs | theorem | Descartes' Rule of Signs
s_sign_change_parity_conjecture | state | sign change parity conjecture
s_sign_change_increment_under_positive_factor | state | sign change increment under positive factor
s_descartes_angular_defect | theorem | Descartes' Theorem on Total Angular Defect
s_vertex_angular_defect | state | vertex angular defect
s_total_defect_equals_2pi_chi | state | total defect equals 2pi chi
s_pascal_mystic_hexagram | theorem | Pascal's Theorem on Hexagons in a Conic / Mystic Hexagram
s_inscribed_hexagon_in_circle | state | inscribed hexagon in circle
s_three_opposite_side_intersection_points | state | three opposite side intersection points
s_pascal_line | state | pascal line
s_pascal_triangle_identity | theorem | Pascal's Triangle Identity
s_binomial_recurrence_conjecture | state | binomial recurrence conjecture
s_distinguished_element_bijection | state | distinguished element bijection
s_newton_binomial_theorem | theorem | Newton's Generalized Binomial Theorem
s_generalized_binomial_coefficient | state | generalized binomial coefficient
s_vandermonde_convolution_extended | state | vandermonde convolution extended
s_newton_identities | theorem | Newton's Identities
s_log_derivative_generating_function | state | log derivative generating function
s_power_sum_series | state | power sum series
s_rolle_theorem | theorem | Rolle's Theorem
s_attained_extrema_on_closed_interval | state | attained extrema on closed interval
s_interior_extremum_or_constant | state | interior extremum or constant
s_torricelli_law | theorem | Torricelli's Law
s_galilean_free_fall_speed | state | galilean free fall speed
s_fluid_column_energy_balance | state | fluid column energy balance
s_wallis_product | theorem | Wallis Product for π
s_wallis_integer_quadrature_table | state | wallis integer quadrature table
s_wallis_half_integer_interpolation | state | wallis half integer interpolation
s_bernoulli_lln | theorem | Bernoulli's Law of Large Numbers
s_binomial_tail_ratios | state | binomial tail ratios
s_binomial_tail_bound | state | binomial tail bound
s_de_moivre_laplace | theorem | De Moivre–Laplace Theorem
s_stirling_central_term_asymptotic | state | stirling central term asymptotic
s_gaussian_density_as_limit | state | gaussian density as limit
s_euler_totient_theorem | theorem | Euler's Totient Theorem
s_unit_group_mod_n | state | unit group mod n
s_orbit_of_a_mod_n | state | orbit of a mod n
s_euler_homogeneous_functions | theorem | Euler's Theorem on Homogeneous Functions
s_homogeneous_function_definition | state | homogeneous function definition
s_scaling_vector_field_identity | state | scaling vector field identity
s_lagrange_mvt | theorem | Lagrange's Mean Value Theorem
s_auxiliary_function_with_equal_endpoints | state | auxiliary function with equal endpoints
s_rolle_interior_critical_point | state | rolle interior critical point
s_wilson_theorem | theorem | Wilson's Theorem
s_polynomial_x_p_minus_1_factored_mod_p | state | polynomial x p minus 1 factored mod p
s_factored_form_of_cyclic_unit_polynomial | state | factored form of cyclic unit polynomial
s_bayes_theorem | theorem | Bayes's Theorem
s_conditional_probability_definition | state | conditional probability definition
s_symmetric_chain_rule_for_intersection | state | symmetric chain rule for intersection
s_cauchy_schwarz | theorem | Cauchy–Schwarz Inequality
s_inner_product_space | state | inner product space
s_non_negative_quadratic_in_t | state | non negative quadratic in t
s_bolzano_ivt | theorem | Bolzano's Intermediate Value Theorem
s_supremum_set_S | state | supremum set S
s_candidate_root_c_as_sup | state | candidate root c as sup
s_bolzano_weierstrass | theorem | Bolzano–Weierstrass Theorem
s_bounded_sequence_in_Rn | state | bounded sequence in Rn
s_bounded_sequence_in_closed_box | state | bounded sequence in closed box
s_nested_intervals_with_infinitely_many_terms | state | nested intervals with infinitely many terms
s_greens_theorem | theorem | Green's Theorem
s_simple_region_decomposition_in_R2 | state | simple region decomposition in R2
s_per_slice_ftoc_identity | state | per slice ftoc identity
s_divergence_theorem | theorem | Divergence Theorem / Gauss–Ostrogradsky
s_z_simple_region_decomposition_in_R3 | state | z simple region decomposition in R3
s_per_axis_flux_identity | state | per axis flux identity
s_liouville_bounded_entire | theorem | Liouville's Theorem (complex analysis)
s_cauchy_derivative_bound | state | cauchy derivative bound
s_vanishing_derivative_on_all_of_C | state | vanishing derivative on all of C
s_cayley_hamilton | theorem | Cayley–Hamilton Theorem
s_square_matrix_with_char_poly | state | square matrix with char poly
s_adjugate_matrix_polynomial_identity | state | adjugate matrix polynomial identity
s_cantor_bernstein_schroeder | theorem | Cantor–Bernstein–Schroeder Theorem
s_pair_of_injections_with_orphans | state | pair of injections with orphans
s_trajectory_partition_of_A | state | trajectory partition of A
s_poincare_recurrence | theorem | Poincaré Recurrence Theorem
s_measurable_set_of_positive_measure | state | measurable set of positive measure
s_non_returning_subset_B | state | non returning subset B
s_disjoint_preimages_of_B_sum_bounded | state | disjoint preimages of B sum bounded
s_zermelo_well_ordering | theorem | Zermelo's Well-Ordering Theorem
s_axiom_of_choice_function_phi | state | axiom of choice function phi
s_maximal_gamma_set_on_M | state | maximal gamma set on M
s_noether_isomorphism_theorems | theorem | Noether's Isomorphism Theorems
s_normal_subgroup_N_in_G | state | normal subgroup N in G
s_group_homomorphism_f | state | group homomorphism f
s_abstract_subobject_quotient_morphism_pattern | state | abstract subobject quotient morphism pattern
s_canonical_quotient_by_kernel_map | state | canonical quotient by kernel map
s_godel_completeness_theorem | theorem | Gödel's Completeness Theorem
s_first_order_logic_language | axiom | first order logic language
s_consistent_first_order_theory_T | state | consistent first order theory T
s_consistent_theory_with_witnesses | state | consistent theory with witnesses
s_maximal_consistent_henkin_theory_T_star | state | maximal consistent henkin theory T star
s_banach_tarski_paradox | theorem | Banach–Tarski Paradox
s_free_group_F2_on_two_generators | state | free group F2 on two generators
s_paradoxical_decomposition_of_F2 | state | paradoxical decomposition of F2
s_F2_as_subgroup_of_SO3 | state | F2 as subgroup of SO3
s_paradoxical_sphere_decomposition | state | paradoxical sphere decomposition
s_stone_weierstrass_theorem | theorem | Stone–Weierstrass Theorem
s_compact_hausdorff_space | axiom | compact hausdorff space
s_point_separating_unital_subalgebra_A_of_C_X_R | state | point separating unital subalgebra A of C X R
